UNITID,extra_pct_recommended,max_gain
113698,0.08,9304.542574079998
117946,0.07,89888.05799999999
123554,0.09,32569.58674417395
126678,0.09,51332.4
127653,0.02,584.4900103933142
130590,0.09,62762.14000000001
137032,0.07,4626.587921135622
144740,0.08,47445.377715786046
144962,0.07,21343.03490152574
148627,0.09,73158.5395793521
152080,0.08,132528.00960000002
152390,0.07,5390.6822598544095
152673,0.09,35276.8
159656,0.08,41684.7264
165671,0.08,25523.315999999995
166124,0.07,28048.776
173665,0.01,2191.15265773752
174747,0.05,16018.165041
174792,0.04,9351.678781191498
175005,0.09,28779.61885571881
181002,0.04,5150.384820620167
184694,0.09,53508.89272575632
185572,0.02,2216.932255108335
194310,0.09,298345.81140000006
196006,0.05,2800.0660000000003
198136,0.09,27138.89288838135
198516,0.04,1796.0394343028165
198613,0.02,9043.856316000045
212911,0.09,27728.2512
216278,0.03,2431.6237505058925
216667,0.09,52457.8816
217536,0.09,5340.639139404653
219709,0.01,477.69772889283195
234076,0.09,98942.976
235024,0.09,5164.791668181399
247649,0.01,1177.8912418837185
